年,月,日,第一の命数,第二の命数,第三の命数
2012,1,12,3,2,7
2012,2,12,33,36,34
2012,3,12,4,3,7
2012,4,12,33,33,34
2012,5,12,3,8,10
2012,6,12,42,43,42
2012,7,12,12,14,18
2012,8,12,41,46,46
2012,9,12,20,15,17
2012,10,12,50,46,41
2012,11,12,19,14,17
2012,12,12,49,48,41
2012,1,13,4,1,10
2012,2,13,42,43,42
2012,3,13,3,4,10
2012,4,13,42,42,41
2012,5,13,12,17,18
2012,6,13,41,44,48
2012,7,13,11,13,16
2012,8,13,50,43,41
2012,9,13,19,16,17
2012,10,13,49,45,41
2012,11,13,18,11,11
2012,12,13,48,45,41
2012,1,14,11,20,18
2012,2,14,49,44,48
2012,3,14,12,11,18
2012,4,14,49,49,48
2012,5,14,11,18,12
2012,6,14,50,41,41
2012,7,14,20,12,17
2012,8,14,49,44,41
2012,9,14,18,13,11
2012,10,14,48,44,41
2012,11,14,17,12,18
2012,12,14,47,46,44
2012,1,15,12,19,12
2012,2,15,48,41,44
2012,3,15,19,12,12
2012,4,15,48,48,44
2012,5,15,18,15,17
2012,6,15,47,42,49
2012,7,15,19,11,17
2012,8,15,48,45,45
2012,9,15,17,14,18
2012,10,15,47,43,44
2012,11,15,16,15,16
2012,12,15,46,43,42
2012,1,16,19,16,17
2012,2,16,47,42,49
2012,3,16,18,20,18
2012,4,16,47,47,49
2012,5,16,17,16,15
2012,6,16,46,42,45
2012,7,16,18,20,19
2012,8,16,47,46,44
2012,9,16,16,11,16
2012,10,16,46,42,42
2012,11,16,15,16,12
2012,12,16,45,44,46
2012,1,17,19,15,15
2012,2,17,41,49,45
2012,3,17,17,19,15
2012,4,17,41,41,45
2012,5,17,16,13,19
2012,6,17,45,41,43
2012,7,17,15,17,18
2012,8,17,44,43,48
2012,9,17,13,12,12
2012,10,17,45,41,46
2012,11,17,12,13,15
2012,12,17,42,41,41
2012,1,18,18,14,19
2012,2,18,42,50,43
2012,3,18,11,18,19
2012,4,18,42,42,43
2012,5,18,12,14,17
2012,6,18,49,50,49
2012,7,18,14,16,14
2012,8,18,43,44,46
2012,9,18,12,20,18
2012,10,18,49,46,41
2012,11,18,11,14,13
2012,12,18,41,41,49
2012,1,19,17,11,17
2012,2,19,49,45,49
2012,3,19,12,17,17
2012,4,19,49,49,50
2012,5,19,19,11,19
2012,6,19,50,49,46
2012,7,19,13,15,12
2012,8,19,42,41,42
2012,9,19,11,19,13
2012,10,19,41,45,49
2012,11,19,30,21,29
2012,12,19,60,60,53
2012,1,20,16,20,19
2012,2,20,50,46,44
2012,3,20,19,16,19
2012,4,20,50,50,44
2012,5,20,20,18,18
2012,6,20,47,48,42
2012,7,20,17,18,18
2012,8,20,48,42,47
2012,9,20,25,28,29
2012,10,20,60,54,53
2012,11,20,26,22,27
2012,12,20,56,59,51
2012,1,21,15,19,18
2012,2,21,47,43,42
2012,3,21,20,15,18
2012,4,21,47,47,42
2012,5,21,17,15,18
2012,6,21,48,47,47
2012,7,21,18,17,17
2012,8,21,55,59,53
2012,9,21,26,27,27
2012,10,21,56,56,51
2012,11,21,23,29,23
2012,12,21,53,58,53
2012,1,22,14,18,18
2012,2,22,48,44,47
2012,3,22,17,14,18
2012,4,22,48,48,47
2012,5,22,18,16,17
2012,6,22,55,56,51
2012,7,22,25,26,27
2012,8,22,56,58,51
2012,9,22,23,26,23
2012,10,22,53,53,54
2012,11,22,24,28,28
2012,12,22,54,57,52
2012,1,23,13,17,17
2012,2,23,55,51,51
2012,3,23,18,13,17
2012,4,23,55,55,51
2012,5,23,25,23,27
2012,6,23,56,55,51
2012,7,23,26,25,27
2012,8,23,53,55,53
2012,9,23,24,25,28
2012,10,23,54,54,52
2012,11,23,21,25,26
2012,12,23,51,56,52
2012,1,24,22,26,27
2012,2,24,56,52,51
2012,3,24,25,22,27
2012,4,24,56,56,51
2012,5,24,26,24,27
2012,6,24,53,54,53
2012,7,24,23,24,23
2012,8,24,54,56,52
2012,9,24,21,24,26
2012,10,24,51,51,52
2012,11,24,22,26,21
2012,12,24,52,55,51
2012,1,25,21,25,27
2012,2,25,53,59,53
2012,3,25,26,21,27
2012,4,25,53,53,54
2012,5,25,23,21,23
2012,6,25,54,53,52
2012,7,25,24,23,28
2012,8,25,51,53,52
2012,9,25,22,23,21
2012,10,25,52,52,51
2012,11,25,29,23,25
2012,12,25,59,54,51
2012,1,26,30,24,23
2012,2,26,54,60,52
2012,3,26,23,30,23
2012,4,26,54,54,52
2012,5,26,24,22,28
2012,6,26,51,60,60
2012,7,26,21,22,26
2012,8,26,52,54,51
2012,9,26,29,22,25
2012,10,26,59,59,51
2012,11,26,30,24,25
2012,12,26,60,53,51
2012,1,27,29,23,28
2012,2,27,51,57,60
2012,3,27,24,29,28
2012,4,27,51,51,60
2012,5,27,21,29,26
2012,6,27,52,59,51
2012,7,27,22,21,21
2012,8,27,59,51,51
2012,9,27,30,21,25
2012,10,27,60,60,51
2012,11,27,27,21,27
2012,12,27,57,52,57
2012,1,28,28,22,26
2012,2,28,52,58,51
2012,3,28,21,28,26
2012,4,28,52,52,51
2012,5,28,22,30,21
2012,6,28,59,58,51
2012,7,28,29,30,25
2012,8,28,60,52,51
2012,9,28,27,30,27
2012,10,28,57,57,58
2012,11,28,28,22,26
